UMCIndex	NETClassRep	UMCMonoMW
221	0.1925	2200.986915
222	0.1913	2876.128328
223	0.1914	514.223324
224	0.1917	1756.827764
225	0.1917	2158.929086
226	0.1917	1028.446707
227	0.1913	1231.590752
228	0.1918	2298.032305
229	0.1925	2299.034823
230	0.1917	704.363683
231	0.1923	1815.817332
232	0.1921	2398.103319
233	0.1927	1701.773477
234	0.1922	2387.06974
235	0.1927	548.307006
236	0.1927	1570.715272
237	0.1928	2316.010742
238	0.1928	1717.766082
239	0.1927	1754.685813
240	0.193	1872.961741
241	0.1943	1532.850157
242	0.1934	1728.783825
243	0.1932	961.473225
244	0.1932	2444.072399
245	0.1932	2875.127213
246	0.1932	2917.161731
247	0.1937	1401.630288
248	0.1937	1485.699548
249	0.1938	3201.448144
250	0.1936	4460.861916
251	0.1935	1067.148872
252	0.194	1653.637699
253	0.1937	4801.168555
254	0.1939	4802.175666
255	0.1938	946.465579
256	0.1946	2109.143184
257	0.1946	1046.58693
258	0.1951	948.5312
259	0.1951	821.439572
260	0.1943	2647.311061
261	0.1957	846.496366
262	0.1951	607.307488
263	0.1964	852.46387
264	0.1964	966.585967
265	0.1964	1981.048492
266	0.1964	1016.576638
267	0.1968	642.406543
268	0.1968	668.342673
269	0.1964	2095.040036
270	0.1971	1671.762344
271	0.1977	633.384882
272	0.1976	1584.730262
273	0.1976	2315.030769
274	0.1976	520.301033
275	0.1982	2299.034619
276	0.1988	1852.954425
277	0.1983	683.36405
278	0.1986	801.424807
279	0.1983	800.362459
280	0.1989	1729.767262
281	0.1989	618.989115
282	0.1988	1601.707119
283	0.1988	1905.86614
284	0.1993	2298.089687
285	0.1997	1001.503146
286	0.2013	1044.556199
287	0.2006	1141.645278
288	0.1997	1243.616131
289	0.1992	1966.946147
290	0.2008	1389.739583
291	0.1999	500.751426
292	0.1999	1002.50715
293	0.2008	1486.683476
294	0.2006	510.950014
295	0.2013	679.39039
296	0.2013	704.388936
297	0.2008	761.479791
298	0.2006	900.482024
299	0.2013	1537.676479
300	0.2023	1085.64447
301	0.2023	2414.098511
302	0.2013	1853.958183
303	0.2017	2286.002688
304	0.2026	813.518633
305	0.202	2430.092901
306	0.2022	570.822843
307	0.2032	884.533161
308	0.2042	1304.672002
309	0.203	1371.656665
310	0.203	1680.681913
311	0.2045	1043.433962
312	0.2035	1061.561786
313	0.2035	1142.629399
314	0.2042	672.380435
315	0.2045	1059.429396
316	0.2038	2357.039229
317	0.2045	1191.588309
318	0.2053	2382.107985
319	0.2046	2609.341137
320	0.2064	1825.895322
321	0.2053	2398.10169
322	0.206	1233.638882
323	0.206	1584.730699
324	0.2064	1878.807589
325	0.2073	830.476343
326	0.2082	1142.62942
327	0.2076	1360.716812
328	0.2092	1029.523808
329	0.2085	1506.687677
330	0.2092	1856.966871
331	0.2078	2297.04385
332	0.2094	1032.533751
333	0.2092	2536.211698
334	0.209	1043.503186
335	0.2097	1772.890103
336	0.2106	1012.451185
337	0.2092	1030.024085
338	0.2092	2059.048123
339	0.2097	516.266929
340	0.2101	590.963891
341	0.2103	2041.970735
342	0.2106	2039.959102
343	0.2108	2022.886854
344	0.2114	458.272824
345	0.2108	480.254689
346	0.2108	1044.41855
347	0.2112	1908.864317
348	0.2112	475.299398
349	0.2112	507.730744
350	0.2114	1600.725389
351	0.2121	1584.730696
352	0.2127	810.405771
353	0.2119	2315.03088
354	0.2122	697.321418
355	0.2125	1043.503502
356	0.2129	1298.611357
357	0.2133	936.491673
358	0.2129	445.269146
359	0.2122	1085.643867
360	0.2134	1224.610122
361	0.2131	1399.632307
362	0.2125	1336.571127
363	0.2131	1642.73785
364	0.2134	2313.087213
365	0.2136	2446.070595
366	0.2144	1697.800853
367	0.2133	1233.639222
368	0.2131	2383.091476
369	0.2148	1495.745139
370	0.2144	1750.712434
371	0.2146	1340.635719
372	0.2144	3395.597221
373	0.2144	2315.03098
374	0.2148	992.55159
375	0.2155	1361.686048
376	0.2153	1511.739458
377	0.2157	1571.699171
378	0.2176	948.531626
379	0.2164	1142.62996
380	0.2159	571.314631
381	0.2159	2228.023575
382	0.2193	1583.756591
383	0.2164	1616.72125
384	0.2166	1856.967301
385	0.2167	1012.451414
386	0.2164	2048.0412
387	0.2172	2382.10912
388	0.2177	915.477377
389	0.217	1350.700171
390	0.2175	866.352241
391	0.2175	688.350387
392	0.217	785.84989
393	0.217	2189.068749
394	0.2176	2398.103115
395	0.2179	1244.578032
396	0.2175	968.389141
397	0.2175	2371.092622
398	0.2179	673.400975
399	0.2182	1642.736491
400	0.2177	1696.758449
401	0.218	2357.077329
402	0.2188	1061.602561
403	0.2189	473.275116
404	0.2189	503.314367
405	0.2192	1444.625039
406	0.2188	1614.741464
407	0.2188	1841.819233
408	0.2193	1699.794641
409	0.2193	1460.620008
410	0.2192	1597.736886
411	0.219	1636.670067
412	0.2193	3167.51293
413	0.221	1501.661493
414	0.2196	1715.78977
415	0.2196	814.852621
416	0.221	1517.656452
417	0.2202	1212.523159
418	0.22	1463.667051
419	0.221	660.396253
420	0.2215	1021.43222
421	0.2207	1554.573952
422	0.2208	1001.107331
423	0.2211	3003.321247
424	0.2222	603.338283
425	0.2238	788.463956
426	0.2217	832.394096
427	0.2236	1600.726336
428	0.224	576.312254
429	0.2244	473.275225
430	0.224	675.380729
431	0.2238	841.376345
432	0.224	955.367954
433	0.2248	978.477403
434	0.2248	519.325854
435	0.2244	524.281196
436	0.2242	547.357131
437	0.2231	617.329387
438	0.2242	502.299279
439	0.2238	791.47366
440	0.2246	505.265274
441	0.225	838.491552
442	0.2248	1389.66363
443	0.2255	1455.662519
444	0.225	1731.766291
445	0.2248	944.535151
446	0.2272	1256.642554
447	0.2269	1696.884909
448	0.2255	1747.761091
449	0.2248	587.318421
450	0.2259	984.476115
451	0.2257	1098.49726
452	0.2269	701.370681
453	0.2259	932.533676
454	0.2263	995.51528
455	0.2269	1272.637524
456	0.2272	882.431041
457	0.2275	950.472353
458	0.2269	1479.67159
459	0.2272	1749.798009
460	0.2272	2513.259993
461	0.2275	1378.758409
462	0.2275	2315.031269
463	0.2306	948.531457
464	0.2291	1066.482997
465	0.2288	805.408519
466	0.2279	2769.209508
467	0.2294	781.335371
468	0.2294	1080.462583
469	0.2281	1384.731926
470	0.2294	2130.950848
471	0.2284	2584.298634
472	0.2293	1064.468443
473	0.2294	1069.492892
474	0.2286	534.746444
475	0.2293	880.403417
476	0.2288	1065.975779
477	0.2288	1777.982857
478	0.2288	532.233849
479	0.2291	1154.66623
480	0.233	1368.736076
481	0.2291	709.979386
482	0.2294	2135.946421
483	0.2294	2569.426279
484	0.233	701.370744
485	0.2324	1582.715451
486	0.233	1421.647625
487	0.2324	814.454957
488	0.2327	1041.581988
489	0.233	2737.470038
490	0.2318	1390.718452
491	0.2352	804.424433
492	0.2347	899.377449
493	0.2358	688.365824
494	0.2349	705.355522
495	0.2364	1106.583107
496	0.2358	431.2494
497	0.2358	2132.130428
498	0.2383	646.380344
499	0.2361	1374.716287
500	0.2381	547.312051
501	0.2386	810.424079
502	0.2367	1159.49536
503	0.2367	720.355343
504	0.2378	1600.727179
505	0.2375	1752.963744
506	0.2386	813.285137
507	0.2386	660.360288
508	0.2386	1290.746
509	0.2383	927.277481
510	0.241	1453.876801
511	0.2408	1731.894852
512	0.2393	700.285063
513	0.2411	563.351816
514	0.2409	568.307273
515	0.241	1212.69813
516	0.2401	2428.116842
517	0.2409	546.325159
518	0.2409	591.382953
519	0.2408	1506.789005
520	0.2413	664.369875
521	0.2412	1054.457643
522	0.2416	1310.646642
523	0.2413	1570.708511
524	0.2411	2016.909441
525	0.2412	1729.804094
526	0.2413	778.362654
527	0.2413	527.228775
528	0.2416	2371.092709
529	0.2418	2428.114769
530	0.2417	921.480841
531	0.2418	950.4723
532	0.2416	1583.689823
533	0.2418	2444.110353
534	0.2419	1031.58773
535	0.2417	1600.726115
536	0.242	2015.89737
537	0.2423	1373.744622
538	0.2419	2315.029794
539	0.2419	1667.804056
540	0.2418	2253.971558
541	0.2424	1389.739573
542	0.2421	1750.908018
543	0.2424	2155.994521
544	0.2424	1188.665038
545	0.2424	936.493229
546	0.2424	1060.631555
547	0.2422	1426.656361
548	0.2423	1075.556546
549	0.2426	1811.005994
550	0.2424	1016.576811
551	0.2427	1314.610395
