Mass_Tag_ID	Monoisotopic_Mass	Avg_GANET	High_Peptide_Prophet_Probability	Cnt_GANET
6646739	585.3849651	0.3069594	1	82
7996576	595.3441626	0.1025006	0.999992	17
9464133	622.307444	0.1249708	1	65
1198	630.3336567	0.07970905	1	435
29461922	637.2819568	0.08806541	0.999972	71
1275	642.4064259	0.1906088	1	683
2251	645.3697073	0.1781295	0.972466	12
1278	645.3697073	0.1624652	0.999494	151
32028211	645.3697073	0.3148193	0.993555	32
1196	647.4006144	0.2761858	1	405
4199360	652.3907766	0.1347054	0.999986	166
12808	656.349306	0.2463219	0.993436	370
4199647	656.349306	0.1216153	1	241
28301574	656.3605375	0.1167804	0.998145	60
1524	659.348972	0.07672179	0.999991	137
7970640	661.3282367	0.09857027	0.999925	31
4204815	669.3809387	0.1653365	1	30
7996641	670.4377245	0.4465635	0.98451	35
16989	671.396588	0.2550096	0.996557	55
1230	672.3806047	0.1987637	0.999946	747
1224	673.4162637	0.2925467	0.999995	767
1876	675.3802706	0.2189984	1	115
1225	677.3384086	0.2651688	0.986422	64
21323	679.3904425	0.1974352	0.999699	548
4199379	685.3659574	0.3450154	0.99662	139
23070134	687.3551175	0.1614188	0.998667	88
23273	688.3503656	0.2176577	0.996491	86
7996566	689.3707668	0.09674951	1	105
4199499	690.4064259	0.5524111	0.997596	38
1220	693.3445541	0.1198101	1	505
8772951	695.3714349	0.137432	1	84
4207956	698.4690232	0.3092469	1	106
4199742	699.3551175	0.1909255	0.995185	19
1219	700.4482879	0.1468287	1	637
1223	701.3707668	0.2309675	1	713
19726	704.3890599	0.2398925	1	105
13250	704.3890599	0.1946687	1	543
12241	706.3683247	0.2451105	0.997795	359
1228	707.3159568	0.08494385	0.999872	166
1204	709.3580953	0.2913911	1	471
1326	711.3663489	0.09858096	0.999925	122
22967	711.3703753	0.2906931	1	655
2243	713.4686891	0.356864	1	4
6911751	713.4799206	0.120899	0.982484	1
10924	715.3751847	0.2550666	1	217
13368118	715.401674	0.4788948	1	58
1556	721.4010059	0.2386696	0.996969	98
4169	726.4639372	0.2530196	0.941778	3
42240546	727.4228007	0.2732288	0.998762	28
10991	728.4068174	0.1945049	1	84
24647	729.4496814	0.1414784	1	115
50110996	731.3449456	0.09668827	0.999978	6
4197761	733.4122373	0.2140729	0.974396	11
1210	734.396254	0.2371344	0.999997	664
4208004	734.4802546	0.1736801	1	676
1276	735.4278867	0.2917208	1	786
1329	738.3547835	0.1416505	1	600
24093	744.438116	0.1722625	0.976683	253
1282	747.4278867	0.3619158	0.999997	529
23069823	749.3707668	0.247241	0.996046	1
1503	751.3500315	0.06871688	0.999971	53
78457712	752.308895	0.2584138	1	1
29461882	752.3704328	0.1215327	0.999999	183
31319092	753.2751543	0.1188938	0.685855	5
4208136	753.3544494	0.3091818	0.995769	20
4199375	754.4377245	0.2834833	1	16
4204902	755.3925616	0.2585552	0.997393	13
31319785	757.4082109	0.1327872	0.999988	108
11952	760.3966455	0.3172889	1	283
29461218	760.4846725	0.5216323	0.953885	11
11919	761.4799206	0.200255	0.999986	358
62316324	762.3812727	0.3366491	0.993321	4
17173752	762.391168	0.3411696	0.989648	10
34704231	762.438784	0.1924206	0.992119	20
29036600	763.3976475	0.3196323	0.99477	17
2244	763.4228007	0.2900908	1	129
28300449	764.396922	0.3173683	0.999997	306
1222	764.4254445	0.3061087	0.999606	446
7997692	765.431924	0.2628247	0.999082	13
23904	768.3653468	0.2706286	0.99453	177
4199592	768.4017314	0.1498553	0.999991	283
28675961	768.485732	0.2646039	1	25
23386	769.4333641	0.2397305	0.97388	6
20129	774.4639372	0.3462305	0.99991	57
4208327	775.4591853	0.3018075	0.914007	14
23069873	777.4020654	0.2753456	1	16
1203	778.4410938	0.3451152	0.999847	932
7996590	779.3813302	0.1516983	1	414
1208	780.4017314	0.1186347	0.994419	326
1328	780.4605788	0.1166325	0.97366	190
8724341	781.4194423	0.1579198	1	29
30063371	782.355843	0.4460483	0.998199	127
4204830	786.4122948	0.2069084	0.99866	15
4207949	787.3976475	0.2980701	0.961969	14
1205	788.4643287	0.2204254	1	969
1226	789.4231922	0.09635174	0.999896	214
1754	789.4748346	0.546913	1	131
31318079	790.4336981	0.08752107	0.601617	20
31318108	794.3666081	0.1288999	0.981999	50
24653	794.4108547	0.2801631	0.99999	236
1206	795.4238602	0.141556	0.946358	10
23070033	797.355509	0.2192642	1	8
4208316	798.4500155	0.3406552	1	10
21592	798.53268	0.2610462	0.999777	20
18826	800.3850335	0.108732	0.999659	7
9802	800.4755601	0.1409348	0.763538	2
20058	800.4755601	0.1913316	0.999995	266
1212	800.4941873	0.343478	1	814
15818	801.4231922	0.1994348	0.999866	8
23271	801.4344236	0.166318	0.96544	7
15128	801.4959614	0.1099654	1	30
21841	801.4959614	0.150591	0.986213	22
15644	801.5112192	0.2831544	0.99997	215
19461	802.3795561	0.1745517	0.999999	133
11651	802.3820557	0.1780735	1	176
15638	802.4548249	0.06769316	0.996305	17
1214	804.4241943	0.2290079	1	626
5810	805.3969795	0.2415428	0.997088	3
28302812	805.4082109	0.2101357	0.977991	66
10957	805.4697487	0.1602777	1	606
6950730	806.3922276	0.232632	0.961423	32
1459	806.4074854	0.3189653	0.999998	451
21747	808.4595193	0.3936261	0.999965	74
2092	810.4459891	0.1256366	0.987178	3
28302693	810.4599108	0.2354112	0.999871	16
12661	810.4711422	0.333272	0.999992	62
21512	811.42617	0.2978342	0.999996	264
23780	811.4591853	0.1384289	0.838856	27
6934914	811.4915435	0.1394304	0.999218	11
1159	812.4391755	0.1662281	1	620
2168	812.4867915	0.2969017	0.993913	25
22271	813.4708082	0.282068	1	62
24156531	813.4959614	0.1624631	0.759431	23
11196	813.5184242	0.1939752	0.99999	195
1704	814.4548249	0.2331311	1	519
31319103	815.4024569	0.1017441	0.996848	39
38625200	815.4388415	0.1793321	0.796105	1
31319564	815.5116107	0.167708	0.861592	5
16633	816.4282207	0.2647444	0.999239	67
12655	816.4605788	0.2704317	0.99805	18
12436	816.4817056	0.1470063	1	103
1460	817.4181062	0.1218613	0.999993	253
1910	817.4293377	0.1799016	0.999121	40
3272	817.4544908	0.2018486	0.999961	12
51583012	818.3657383	0.220666	0.978932	4
21570	818.4649967	0.2795739	1	4
30063291	819.397371	0.04635268	0.999741	7
15182	819.4523827	0.2209054	1	514
4197737	819.4602448	0.1687073	0.983901	3
28140568	819.485398	0.2853084	0.981707	13
23778	820.3748616	0.2203577	1	8
1280	821.3952629	0.1190781	1	385
14407	821.4395096	0.1893602	1	500
1920	823.4663903	0.2053057	1	128
38626757	826.3867611	0.07139745	0.935968	2
31321302	827.5228421	0.1901444	0.980275	5
1201	828.4340896	0.1535146	0.999941	140
15641	828.4817056	0.1503528	0.997626	18
15634	828.5432433	0.1463811	0.228652	4
18103	828.5432433	0.1305485	0.928268	7
18849	829.3864271	0.1387617	0.999919	42
74601587	830.4286122	0.1729437	0.999968	2
11244	830.4762282	0.1992238	0.999512	91
21954	830.4861235	0.1441835	0.998968	4
14191	830.4861235	0.2495424	0.999911	1
21255	831.4490134	0.2791987	1	292
2911827	831.4813716	0.2486823	0.999994	9
31419476	831.5217826	0.4854343	0.996377	32
43172566	832.4224776	0.1493097	0.624269	5
19650	832.4840154	0.2177347	0.999501	77
23069848	832.4918775	0.5717775	1	49
4451	833.3952629	0.1601602	0.200888	7
22021	833.4143564	0.1971943	1	21
23069906	834.4091381	0.2167506	0.992376	366
23069945	834.4486794	0.219185	0.98038	256
23777	835.4109122	0.1680242	0.989091	29
1273	836.3664064	0.1366275	0.999806	141
1283	836.4690341	0.2647641	0.999846	508
21912	837.4820396	0.09500366	0.98789	2
15516	838.4912094	0.2231858	1	624
1323	839.5228421	0.3066718	0.999651	249
23217	840.4129628	0.3511121	1	72
4570	840.4527168	0.2408352	0.999998	46
1197	841.5021068	0.2507142	0.999991	639
16628	842.4861235	0.2861202	1	534
13900	844.4402351	0.1615591	0.999839	9
14521	844.4554929	0.1331443	0.999997	449
29258992	844.4554929	0.1436965	0.999958	106
17174072	844.4806461	0.3131894	0.998309	2
23071954	845.4071514	0.4327229	0.981028	44
23225	846.4235262	0.2481491	0.999991	40
1913	846.4962954	0.1942034	1	956
15626	849.4344236	0.2291719	0.998524	28
30062398	849.445655	0.1274976	0.997783	9
23070249	849.4595768	0.7489942	0.995861	14
2321	850.4435934	0.2346949	0.996092	16
1209	851.4024569	0.262437	1	633
22861	851.4574687	0.2626048	0.983941	56
1372	852.397705	0.2078391	0.999426	24
4199386	852.4228582	0.2795036	1	94
28300325	852.4340896	0.2521458	0.999752	77
29568404	854.4245857	0.2898777	0.860772	7
23070036	854.4609703	0.09749354	0.999984	12
21914	855.4126288	0.3743189	0.999982	8
4204901	855.444987	0.1656945	1	49
28301503	855.5177562	0.07774778	0.950078	206
14527	855.5177562	0.2348398	0.999423	389
15120	856.4402351	0.2150209	1	233
1371	856.4402351	0.458126	0.999996	180
21920	857.4970209	0.1603916	0.99321	42
23070256	858.4194998	0.1828994	0.996181	5
12242	859.4340321	0.3395834	1	197
1525	860.4140224	0.2444953	0.999953	397
38626183	860.4650077	0.1853614	0.951506	8
59680281	861.5323459	0.2984846	0.996407	3
46384694	863.4500729	0.2235143	0.985454	10
15137	863.5228421	0.2571273	0.999917	67
10920	865.4657222	0.1830689	0.999997	281
14526	867.4714762	0.2677628	0.999999	674
15253	868.4442615	0.2700767	1	683
8898	868.4766196	0.4906348	1	16
10956	868.5017728	0.2434128	0.999972	822
11391	869.4183828	0.3245317	1	839
2029	870.4235262	0.5775128	0.997399	36
4199668	870.4347576	0.2920814	1	172
15331	870.5174221	0.2481773	0.999996	31
21558	871.4551589	0.2119636	0.98036	3
31318678	872.4239177	0.08240072	0.991456	5
15795	872.4351491	0.267229	0.999961	26
17174089	873.4092705	0.1665551	1	26
15874	873.4245283	0.2816111	0.908498	3
4204744	873.4443189	0.1939451	0.992174	2
24207	873.4807035	0.3157021	1	175
7399406	873.4919349	0.2578385	0.999945	25
46675063	875.5228421	0.3314052	0.99868	11
21581	876.4527168	0.2347886	1	18
15502	876.4592427	0.2318686	0.997753	20
16629	877.5021068	0.30243	1	668
26158352	878.4722018	0.1381873	0.999435	24
21707	879.4999987	0.2351643	0.990671	8
42240620	880.4038505	0.2291264	1	13
21646	881.4242517	0.2334587	0.999929	14
4199744	881.4494049	0.2742142	0.996763	228
33397983	883.408879	0.205992	0.999507	14
18112	883.4439275	0.2731245	0.999979	150
10953	883.487517	0.2316457	0.999999	242
4199607	883.4987485	0.1466219	0.99999	60
21620	884.4027909	0.3062079	0.924559	3
26156696	884.5443029	0.4254617	0.996579	14
1272	885.4079344	0.1816564	0.999998	172
6690	885.5170881	0.4369557	0.523671	4
15233	885.5507824	0.1491425	0.999933	16
4168	885.5534727	0.3675099	0.991527	9
14614250	886.487183	0.1873716	0.854061	2
39896896	886.5388254	0.1810033	0.268632	1
23069953	887.3919045	0.09252654	0.999974	25
11598	887.5592267	0.29597	1	633
21497	888.5028323	0.08392741	0.999992	4
43170398	891.4661137	0.1617111	0.112269	4
15635	892.4078769	0.2486813	1	528
21553	895.4915435	0.3794529	0.999998	226
21649	896.4061603	0.3410468	0.999935	15
23070113	896.4867915	0.2365674	0.9971	4
38625584	897.3901769	0.1718627	0.217676	2
1195	899.3773038	0.2306746	0.999998	668
16367	899.4976889	0.262064	0.999789	13
1930	899.5075843	0.3022112	1	245
23069868	899.5803534	0.2991335	0.99756	8
1914	899.5843798	0.4446797	0.99986	5
15880	901.52726	0.3708324	1	67
30063308	902.4722018	0.1231303	0.997361	25
1152	902.5588927	0.2903889	1	896
23069681	902.5588927	0.5417246	1	190
1134	903.4602448	0.3278348	1	984
11525	903.4602448	0.333667	0.996956	155
14765	904.4766196	0.2722105	0.996507	32
6951258	905.4242517	0.1650461	0.903839	10
16430	905.4619724	0.2673013	0.999998	184
14677	905.4640056	0.1379375	0.995322	34
1294	906.5360493	0.3004908	1	993
11626	907.4836814	0.4624335	1	240
4207569	908.4966869	0.2441913	0.653973	16
14513	908.5191497	0.09715078	1	78
23069861	909.4555504	0.2528366	0.987465	49
31419693	909.5759355	0.4551576	0.965281	18
31419766	910.4660563	0.3256108	0.999812	32
15871	910.534799	0.1992794	0.999767	20
38626220	911.4653308	0.2797846	0.999996	10
28300166	912.4664478	0.1612141	1	295
23070032	912.492937	0.3439472	1	25
15637	913.5093118	0.1293021	0.999529	13
1135	915.4661137	0.1757733	1	769
16636	915.4773452	0.2148214	1	792
29258442	916.4766196	0.1689931	0.0523766	68
3103	916.5381574	0.3977101	0.999993	21
7826	916.5592841	0.2286305	1	34
11650	917.434147	0.222108	0.999406	14
21314	917.4606363	0.2489709	1	645
4199590	917.4817631	0.3091638	0.477081	70
19721	917.5116216	0.1580663	0.998704	114
19725	917.5181476	0.1700158	0.942955	41
28301579	918.492269	0.1258025	0.993447	156
2910346	918.5286535	0.2878647	0.919136	307
1701	918.5538067	0.3099872	1	943
26157940	919.4320389	0.2835692	0.489781	8
21919	919.4511325	0.1323728	0.99929	8
31419704	919.479655	0.2733367	0.9899	7
24496	919.5126702	0.2445592	0.904013	8
1936	920.4385185	0.2221197	0.999729	9
1244	920.498023	0.2935596	1	1036
1142	921.4807035	0.2379766	1	958
9863	922.4548249	0.2384574	0.801255	88
21949	922.4759516	0.2453405	0.91951	71
15398	922.4759516	0.1654583	0.99966	170
23070250	922.5024409	0.3927974	0.533328	2
29461219	922.534799	0.1226471	0.998431	73
30572762	925.4809801	0.3963535	0.999716	62
29257892	926.4762282	0.3260358	0.995809	1
1192	926.4861235	0.2911091	1	1026
15130	926.5548662	0.2675219	1	49
28300873	927.4885766	0.1173632	0.999741	248
12110	927.5388829	0.2322654	0.999723	162
21573	928.534131	0.3329337	0.99983	17
15105	929.5909168	0.1293983	0.99999	51
23954	930.4711422	0.3552584	1	117
2140	930.5385489	0.2909897	0.999985	62
16637	931.4722592	0.146327	0.998994	43
15245	931.5160395	0.2311492	0.995006	399
10954	932.4966869	0.3341321	0.999369	6
22862	932.5079183	0.308125	0.926756	8
11132	932.5191497	0.2454911	0.99991	65
1117	932.5364408	0.2452656	1	1039
4201650	933.4047777	0.1713206	0.999985	10
23673	933.4344236	0.2939058	1	38
29313326	934.5123362	0.3459318	0.999456	37
21523	934.534799	0.1472922	0.999999	99
1113	935.4936625	0.1321242	1	822
16652	936.4300632	0.2478397	0.986052	95
26157929	936.4677839	0.1260813	0.978313	126
16391	937.4140798	0.2051637	0.928321	401
29259603	938.4214291	0.16157	0.995051	6
1108	940.4653882	0.2721192	1	941
28302687	940.5017728	0.2752326	0.283237	14
28301313	941.5545322	0.2729367	1	564
4168283	942.4459891	0.2669182	0.999988	24
21532	942.4666495	0.3845053	1	10
18851	942.492269	0.2320251	0.9994	16
23069866	942.5286535	0.4730906	0.980147	31
20375	943.5701815	0.2061433	0.966103	6
15135	944.4537763	0.1618719	1	271
39896760	945.5759355	0.5843434	0.999128	4
12231	946.4653992	0.1890043	1	715
15737	946.5963368	0.1817907	0.999979	10
21850	947.4963528	0.3080018	0.998013	5
9344	949.5021068	0.3417187	1	13
23548	950.4126972	0.3007077	0.996477	32
2021	950.4708657	0.3363297	1	131
23069844	950.5297131	0.2859545	1	15
14550	951.5137297	0.1558919	1	319
31418917	952.4514665	0.2240234	0.973011	11
23198	953.4970209	0.3567502	0.995494	1
21527	954.492269	0.3855602	0.999995	5
1217	955.4722592	0.03967267	0.99997	36
19333	955.5602862	0.2340802	0.996222	13
21623	956.529045	0.2139725	0.999815	3
11526	956.576661	0.1741173	1	444
16639	956.576661	0.1537505	0.996777	9
2247	957.4667818	0.1914626	0.999421	26
19676	957.4813825	0.1234075	1	109
74601585	958.5235676	0.1993371	0.918756	1
11767	959.4671733	0.3813514	1	424
21915	959.4858004	0.2550254	0.999655	4
2770	959.5552003	0.3488096	0.999995	17
1202	961.4729273	0.1860162	0.999996	684
51438898	962.4933285	0.215494	0.996475	15
1106	962.5085863	0.2919823	1	15
1200	963.5276515	0.3866979	1	699
21491	964.4357423	0.1967259	0.999996	8
23070136	964.4687576	0.3345381	1	124
19748	964.5639896	0.2367619	0.999977	230
23905	965.5069162	0.3071357	1	20
28300506	966.4810375	0.379546	0.99987	152
21596	966.499474	0.1821858	0.906515	4
1919	966.54709	0.1236578	0.998469	89
11768	966.5861649	0.198205	1	700
18102	967.5450284	0.1408574	0.998589	13
28302348	967.6177975	0.2762756	0.999992	284
22274	968.6018142	0.2486371	1	73
4199378	969.5242931	0.3619039	1	203
3474	971.4671733	0.1581649	0.999902	26
21325	971.5035578	0.1116346	0.999897	7
1105	972.5491122	0.3202989	1	858
51428278	973.4715912	0.1684816	0.997243	7
2351	973.4828226	0.2531947	0.995048	42
2027	973.486849	0.2574721	0.987442	91
5867	975.5422522	0.2358228	0.540635	22
2536	976.4653882	0.4952912	0.991366	6
5505	976.5202092	0.1095025	0.99997	118
1215	976.534131	0.3311575	1	788
64417887	976.5705156	0.3369508	0.0260771	2
30062137	977.4929945	0.2589444	0.999996	85
1143	978.4770111	0.2216788	1	644
23070228	978.5021643	0.6939518	0.999172	13
14617	978.5385489	0.2614656	0.999457	216
23262609	979.527271	0.2915318	0.99392	52
4207568	979.533797	0.1421208	0.989319	1
10992	980.5178136	0.2514238	1	667
22263	982.4130778	0.2404575	0.860094	12
4208139	982.4243092	0.1700488	0.906476	17
12901	984.5504483	0.278968	0.999937	12
1523	985.4140798	0.2181847	0.996058	106
29259605	985.4616958	0.2958653	0.999999	10
15109	985.5919763	0.1059807	0.999141	143
55774419	987.5388829	0.56918	0.997354	5
5533	987.5600096	0.1379719	1	318
1190	988.479989	0.3150735	1	749
19524	989.5392744	0.275376	1	8
17220609	990.4783472	0.1242395	0.999906	2
15780	993.5759355	0.3377202	1	736
7725939	993.5831405	0.1123937	0.816179	4
42630808	994.4507984	0.1545426	0.993241	6
30572802	994.4719252	0.2215298	0.999954	22
28300647	994.4759516	0.3297952	0.999986	188
31418931	994.5083098	0.246413	0.998183	6
4204761	994.5711836	0.2419349	0.998167	337
1120	995.4784047	0.136187	1	228
23338	996.5967283	0.2320483	0.998544	16
33341329	997.5304386	0.2519929	0.99532	5
31320014	997.5807449	0.3634185	0.339446	2
43170522	997.6032078	0.2477839	0.999444	12
69998195	998.4497389	0.3564983	0.999907	1
2911700	998.521851	0.4692988	0.870086	39
30065589	998.5256867	0.163423	0.997141	75
15833	998.6123776	0.249689	0.999906	22
31419235	999.4984719	0.1031422	0.535133	2
34429895	999.5712411	0.5245081	0.991354	15
4201895	999.5712411	0.4556285	1	34
5559	1000.555258	0.2628791	0.999983	11
15235	1000.556594	0.1418465	1	242
21785	1000.566489	0.1716668	0.999848	4
11084	1000.581747	0.2761416	1	319
1156	1001.50289	0.1973779	1	416
10939	1001.50289	0.3310465	1	16
1161	1001.575659	0.2746463	1	547
4207757	1001.627301	0.3880519	1	441
7997561	1005.422344	0.2162564	0.972876	16
30062504	1006.483157	0.1713845	0.999098	34
15963	1007.551174	0.2820129	1	152
10965	1009.545696	0.3458869	1	373
4207975	1010.503224	0.2538222	1	298
31321018	1011.452192	0.2801199	0.949302	5
1068	1011.534856	0.1587999	1	798
5818	1013.50289	0.1692603	0.996949	1
21466	1013.50376	0.3708147	1	81
22132	1013.518148	0.3010263	0.992698	2
1266	1013.612044	0.3935759	1	821
21651	1013.612044	0.4093226	0.99822	4
4207936	1014.524627	0.3028336	0.998353	4
12371	1014.524627	0.2658704	1	48
7997531	1015.449796	0.3144249	1	5
28301517	1015.493386	0.1531745	0.993593	120
11735	1015.654182	0.2828211	1	212
4538	1016.576661	0.389616	0.99998	95
31320058	1016.613046	0.5719125	0.997043	23
31318069	1017.437136	0.1167406	0.974129	17
4199123	1017.476677	0.3218464	0.999813	3
1424	1017.487909	0.2507907	1	660
4201843	1019.503558	0.2780772	1	6
46674122	1019.528711	0.4775436	0.963167	3
19648	1022.521851	0.3024188	0.999994	99
34704459	1022.659994	0.4625553	0.97607	19
1781	1023.447699	0.2194678	1	696
28300323	1024.549389	0.4014469	1	748
28301593	1026.532023	0.4057123	1	203
7996713	1029.418509	0.1839104	0.993324	56
26156301	1029.510371	0.1962094	0.999999	3
23333	1030.493922	0.3239489	1	82
15991	1030.617464	0.1672085	0.999741	26
72892701	1031.477069	0.1784581	0.560961	2
28300373	1031.551174	0.3501298	0.999918	37
42630847	1031.562405	0.2152432	0.256506	4
11984	1031.587558	0.2487144	1	948
6711821	1032.508701	0.2162146	0.99998	14
11085	1032.563713	0.2419206	1	222
23070155	1033.490218	0.2987982	0.999999	6
15165	1033.530439	0.2485007	0.999808	554
4204756	1033.545696	0.3247795	0.993276	17
31775328	1033.555592	0.353934	0.999568	3
4207842	1033.555592	0.3050148	0.99685	15
15693	1033.580745	0.3033398	0.999991	33
24514	1034.55084	0.1994601	0.999977	18
