MassTagID,FeatureID,STAC_Score,Mass_Error,NET_Error,UP
26156301,328,5.6077E-06,13.0518,0.0130,1.0000
1085,329,0.9865,-0.5137,-0.0002,1.0000
11972,330,0.9834,0.1976,-0.0073,1.0000
2910477,331,6.1493E-19,-22.4714,0.0048,1.0000
6711821,332,5.2520E-22,24.2613,-0.0068,1.0000
1000,335,0.9799,-0.9019,-0.0088,1.0000
28300977,342,2.5955E-14,-17.3530,-0.0401,1.0000
31318679,360,0.0002,-5.7781,-0.0468,1.0000
11261,366,0.9868,0.0135,0.0008,1.0000
24645,367,5.6833E-22,23.5780,-0.0298,0
14750,371,0.9864,-0.2208,-0.0027,1.0000
1025,382,0.9859,-0.8322,-0.0010,1.0000
1071,382,5.5232E-12,-15.0147,-0.0447,0
11972,384,0.9867,0.4292,8.7600E-05,1.0000
16636,388,0.9864,0.0347,0.0029,1.0000
1135,388,1.8212E-08,12.3033,0.0419,0
23273,391,0.9865,0.0311,-0.0002,1.0000
7969887,394,1.2125E-06,13.0959,0.0213,0
18717,394,5.9648E-17,-20.6063,0.0277,0
1087,395,0.9863,0.6950,0.0008,1.0000
31317456,400,1.7879E-09,-12.6787,-0.0453,1.0000
11081,413,0.9856,-0.2737,-0.0043,1.0000
19639,414,0.0017,-3.0318,-0.0470,1.0000
31318074,414,3.3651E-23,-23.4586,0.0414,0
11939,417,0.9866,-0.1179,0.0020,1.0000
1205,425,0.9860,-0.4727,0.0034,1.0000
1876,430,0.9847,0.6787,0.0050,1.0000
1143,433,0.9861,0.4005,0.0031,1.0000
15516,441,0.9865,0.4086,0.0018,1.0000
23069941,442,4.5286E-21,23.7646,-0.0069,1.0000
1081,443,0.9868,-0.2981,7.2300E-05,0.9981
22794,443,0.9856,-0.2981,0.0005,0.0019
11047,447,0.9852,-0.3813,-0.0049,1.0000
3092419,447,6.5953E-18,-19.5625,-0.0424,0
1178,451,0.9856,-0.7993,-0.0027,1.0000
14510,451,0.6527,-5.0824,-0.0166,3.7204E-67
1223,452,0.9858,-0.1223,-0.0041,1.0000
1117,453,0.8561,-2.9648,-0.0194,1.0000
11132,453,6.2416E-09,15.5775,-0.0196,0
16068,461,0.9868,0.2038,0.0011,1.0000
15770,464,0.9865,-0.1500,0.0026,1.0000
28302812,465,0.9340,0.3825,0.0187,1.0000
5810,465,4.0211E-07,14.3277,-0.0127,0
7418675,472,1.2803E-18,-22.1326,0.0194,0
42240620,475,0.9866,-0.4924,0.0002,1.0000
1093,480,0.9867,0.0146,0.0017,1.0000
1223,484,0.9866,-0.0325,0.0020,1.0000
1704,487,0.9868,0.1622,-0.0007,1.0000
14602,488,0.9868,0.1767,-0.0007,1.0000
1214,491,0.9844,0.2967,0.0062,1.0000
1195,492,0.9859,0.1614,0.0040,1.0000
23273,493,1.3647E-19,22.4572,0.0181,0
11454,495,0.9860,-0.0822,0.0039,1.0000
4207810,499,0.0002,-9.6252,-0.0308,0
31318682,499,1.6918E-16,19.7710,-0.0380,0
60781861,505,4.2575E-13,16.7274,-0.0371,1.0000
11673,510,0.9859,-0.0289,-0.0040,1.0000
4207828,511,0.9866,0.2991,0.0016,1.0000
15217,515,0.9868,0.2482,0.0008,1.0000
62023354,516,0.7845,1.1116,-0.0258,1.0000
23700,519,0.0004,6.6546,-0.0444,0
1151,522,0.9868,0.0488,0.0009,1.0000
15284,522,8.6657E-07,-14.1630,-0.0012,0
1018,524,0.9805,-2.0675,0.0017,1.0000
62023354,529,0.8497,0.2578,-0.0241,1.0000
1142,530,0.9860,0.1492,0.0037,1.0000
17705,532,0.0104,-1.5918,0.0445,1.0000
11984,534,0.9839,0.1667,-0.0068,1.0000
42630847,534,4.7839E-25,24.5501,0.0267,0
11399,537,0.9868,-0.1631,-0.0002,1.0000
4204698,540,0.9851,0.3363,-0.0052,1.0000
1619,541,1.7569E-11,-15.8085,-0.0355,0
51428117,542,0.9848,0.2719,-0.0057,1.0000
12391,544,0.9863,0.1884,0.0029,1.0000
7997866,546,0.3345,-7.2626,0.0046,1.0000
11068,549,0.9686,0.3981,-0.0142,1.0000
16068,556,0.0265,-8.7637,0.0162,1.0000
10956,560,0.9868,0.2973,0.0004,1.0000
9287,561,0.9854,-0.6496,-0.0038,1.0000
12808,562,0.9859,0.0457,-0.0025,1.0000
4204761,563,0.9866,0.0668,0.0010,1.0000
1111,564,0.0021,3.5661,-0.0468,1.0000
1034,566,0.9857,-0.4464,-0.0038,1.0000
15223,570,0.9861,0.6104,-0.0024,0.9076
43240864,570,0.9774,0.6104,-0.0086,0.0924
22274,571,0.9849,0.1825,-0.0056,1.0000
